Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
trinket_health_care;Trinket Health Care;;;;;;;x
own_panama_canal;Owning the Panama Canal;;;;;;;x
WEGAINCB_3;'$CASUS$' Casus Belli;;;;;;;x
GC_NAME;Le Grande Campagne;;;;;;;x
GC_DESC;A tentative new order reigns in Europe. Napoleon's France defied her enemies and now stands victorious and triumphant in western Europe, with all her rivals greatly humbled. But despite victory, peace did not come cheap - in exchange for lasting peace France agreed to limit her direct rule to lands west of the Rhine, and to grant autonomy to some of her previous subjects. The future is uncertain. Resentful Austrians and Prussians continue to chip away at the fringes of French influence, waiting to see if the young empire falters. And with the growing bubblings of nationalism and increasing industrialization across the continent, internal strife threatens to once again upend peace in Europe. Meanwhile the remnants of the exiled and shattered United Kingdom, with her Native American allies, are locked in a bitter struggle of containment against American expansionism. The outcome of the war could decide the fate of not only North America, but the wider British Empire.;;;;;;;x
an_mein_volk;An Mein Volk;;;;;;;x
an_mein_volk_desc;We have called all Germans to unite against the French!;;;;;;;x
new_world_nation;New World Nation;;;;;;;x
social_reformed_nation;Fully Socially Reformed Nation;;;;;;;x
napoleon_tech_school;Napoleonic Heritage;;;;;;;x
release_vassals_title;Should we release any vassals?;;;;;;;x
cisalpine;Arpitan;;;;;;;x
LEDGER_COUNTRY_NAME;Country;;;;;;;x
CANAL_6;Le canal des Francais;;;;;;;x
CANAL_7;Impassable's Strait;;;;;;;x
CANAL_8;The Dead Men's Strait;;;;;;;x
CANAL_9;The Last Stand Strait;;;;;;;x
CANAL_10;No White's Men Strait;;;;;;;x
CANAL_11;The Settler Strait;;;;;;;x
andean;Andean;;;;;;;x
rhenish;Rhenish;;;;;;;x
corsican;Corsican;;;;;;;x
Scotish;Scottish;;;;;;;x
british;English;;;;;;;x
western_african;Western African;;;;;;;x
volta;Volta-Niger;;;;;;;x
nigerian;Nigerian group;;;;;;;x
bantoid;Bantoid;;;;;;;x
bantu;Bantu;;;;;;;x
somali;Somalian;;;;;;;x
ethiopian;Ethiopian;;;;;;;x
malagasy;Malagasy;;;;;;;x
khoikhoi;Khoikhoi;;;;;;;x
eastern_bantu;Eastern Bantu;;;;;;;x
nilotic;Nilosaharan;;;;;;;x
egyptian;Egyptian;;;;;;;x
north_african;North African;;;;;;;x
peninsular_arab;Peninsular Arab;;;;;;;x
vassal_nation;Vassal Nation;;;;;;;x
USAlouisiana;Took Louisiana;;;;;;;x
hasmanifestdestiny;Manifested Destiny;;;;;;;x
