Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV12;Red Deer;;;;;;;x
PROV255;Derry;;;;;;;x
PROV360;Wilno;;;;;;;x
PROV361;Kowno;;;;;;;x
PROV362;Mariampol;;;;;;;x
PROV363;Poniewiez;;;;;;;x
PROV364;Szawle;;;;;;;x
PROV365;Polaga;;;;;;;x
PROV626;Hradec Kralove;;;;;;;x
PROV694;Torun;;;;;;;x
PROV699;Poznan;;;;;;;x
PROV700;Bydgoszcz;;;;;;;x
PROV703;Krakow;;;;;;;x
PROV706;Warszawa;;;;;;;x
PROV707;Suwalki;;;;;;;x
PROV709;Lomza;;;;;;;x
PROV711;Siedlce;;;;;;;x
PROV718;Minsk;;;;;;;x
PROV719;Bialystok;;;;;;;x
PROV936;Grodno;;;;;;;x
PROV937;Brzesc Litewski;;;;;;;x
PROV939;Baranowicze;;;;;;;x
PROV940;Pinsk;;;;;;;x
PROV941;Sluck;;;;;;;x
PROV942;Mozyrz;;;;;;;x
PROV947;Postawy;;;;;;;x
PROV954;Winnica;;;;;;;x
PROV955;Ploskirow;;;;;;;x
PROV956;Rowne;;;;;;;x
PROV957;Kowel;;;;;;;x
PROV958;Kijow;;;;;;;x
PROV959;Korosten;;;;;;;x
PROV960;Zytomierz;;;;;;;x
PROV961;Czerkasy;;;;;;;x
PROV1363;Pakse;;;;;;;x
PROV1364;Phnom Penh;;;;;;;x
PROV1464;Jolo;;;;;;;x
PROV2126;Bonaparte;;;;;;;x
PROV2281;Esmeraldas;;;;;;;x
PROV2595;Peace River;;;;;;;x
PROV2629;Kamloops;;;;;;;x
PROV3249;Guangzhouwan;;;;;;;x
PROV3250;Ceuta;;;;;;;x
PROV3251;Trankebar;;;;;;;x
PROV3252;Vaduz;;;;;;;x
PROV3253;Diu;;;;;;;x
PROV3254;Bandung;;;;;;;x
PROV3255;Cuneo;;;;;;;x
PROV3256;Kampen;;;;;;;x
PROV3257;Almere;;;;;;;x
PROV3258;Benevento;;;;;;;x
PROV3259;Avellino;;;;;;;x
PROV3260;Rieta;;;;;;;x
AUS_2538;Vojvodina;;;;;;;x
BRZ_2401;Amazonas;;;;;;;x
BRZ_2414;Para;;;;;;;x
BRZ_2416;Mato Grosso;;;;;;;x
BRZ_2421;Goias;;;;;;;x
BRZ_2424;Ceara;;;;;;;x
BRZ_2432;Pernambuco;;;;;;;x
BRZ_2435;Pernambuco;;;;;;;x
BRZ_2439;Bahia;;;;;;;x
BRZ_2443;Minas Gerais;;;;;;;x
BRZ_2447;Rio de Janeiro;;;;;;;x
BRZ_2450;Sao Paulo;;;;;;;x
BRZ_2463;Sul;;;;;;;x
CHI_1086;Kouriles Islands;;;;;;;x
DEN_251;Greenland;;;;;;;x
ENG_1923;Yorubaland;;;;;;;x
FRA_399;Nord-Pas-De-Calais;;;;;;;x
FRA_402;Picardie;;;;;;;x
FRA_408;Champagne;;;;;;;x
FRA_411;Lorraine;;;;;;;x
FRA_432;Franche-Comte;;;;;;;x
GRE_837;Greece;;;;;;;x
JAP_1087;Sakhalin;;;;;;;x
MEX_2151;Coahuila y Nuevo Leon;;;;;;;x
MOR_1696;Western Sahara;;;;;;;x
PAP_752;Lazio-Campania;;;;;;;x
PRU_546;Vorpommern;;;;;;;x
PRU_575;Nordrhein;;;;;;;x
PRU_578;Mittelrhein;;;;;;;x
PRU_701;Wielkopolskie;;;;;;;x
RUS_710;Ma³opolskie;;;;;;;x
RUS_1196;Turkmenistan;;;;;;;x
SER_794;Serbia;;;;;;;x
TUR_853;Albania-Montenegro;;;;;;;x
USA_2556;Carolina;;;;;;;x
SWE_331;Gotland and Bornholm;;;;;;;x
