Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
oceanic;Pacific Islander;;;;;;;x
levantine;Greco-Caucasian;;;;;;;x
turko_semitic;Turkic;;;;;;;x
polish_culture_group;Western Slavic;;;;;;;x
jefferson_method_desc;The Jefferson Method is a highest averages method for allocating seats, and is thus a type of party-list proportional representation. Proportional representation systems aim to allocate seats to parties approximately in proportion to the number of votes received. For example, if a party wins one-third of the votes then it should gain about one-third of the seats. In general, exact proportionality is not possible because these divisions produce fractional numbers of seats. As a result, several methods have been devised which ensure that the parties' seat allocations, which are of course whole numbers, are as proportional as possible. In comparison with the Sainte-Lague method, 即the Jefferson Method slightly favours large parties and coalitions over scattered small parties劬.;;;;;;;x
precious_goods;Precious Goods;;;;;;;x
precious_goods_RGO_SIZE;Precious Goods Market Size;;;;;;;x
PARTY_LOYALTY_EFFECT_DESC;Loyalty towards 即$PARTY$劬 in 即$PROV$劬 will be changed by 即$VALUE$劬.\n;;;;;;;x
MODIFY_RELATION_EFFECT;即$SOURCE$?'s relation with 即$TARGET$? changed with a value of $VALUE$.\n;;;;;;;x
IS_NOT_ACCEPTED_CULTURE;Is NOT an accepted culture.;;;;;;;x
canned_food_factory;Cannery;;;;;;;x
ALL_CORE_PROVINCE_THAT;For all core provinces \n;;;;;;;x
TOPBAR_POPULATION;Our adult male population is $CURR$. Our adult male population has changed by $CHANGE$ in the last 即$DAYS$? days.;;;;;;;x
precious_metal;Precious Metals;;;;;;;x
precious_metal_RGO_SIZE;Precious Metals Mine Size;;;;;;;x
cattle;Livestock;;;;;;;x
cattle_RGO_SIZE;Livestock Ranch Size;;;;;;;x
school_reforms;School System;;;;;;;x
RULE_RICH_ONLY;\nRich Only;;;;;;;x
RULE_SAME_AS_RULING_PARTY;\nSame As Ruling Party;;;;;;;x
RULE_STATE_VOTE;\nState Vote;;;;;;;x
RULE_POPULATION_VOTE;\nPopulation Vote;;;;;;;x
ISSUE_MOVE_EFFECT;即$PERCENTAGE$%劬 of pops move from 即FROM劬 to 即TO劬\n;;;;;;;x
encourage_agriculture;Encourage Agriculture;;;;;;;x
encourage_mining;Encourage Mining;;;;;;;x
encourage_business;Encourage Business;;;;;;;x
militancy_appeasement;Colonial Appeasement;;;;;;;x
consciousness_appeasement;Colonial Propaganda;;;;;;;x
native_enslavement;Native Enslavement;;;;;;;x
NO_RAIL_YET;We can not encourage railroad building when we do not know how to build them yet.;;;;;;;x
CAN_NOT_BUILD_FACTORY;Can not build factory.\n;;;;;;;x
CAN_BUILD_FACTORY;Can build factory.\n;;;;;;;x
no_safety;No Safety Regulations;;;;;;;x
no_safety_desc;Death or grievous injuries in the workplace isn't a rare occurrence as employers don't need to think about safety, only profit. The government has no governing legislation covering safety in the workplace and workers rarely manage to sue their employers over accidents.;;;;;;;x
trinket_safety;Minimal Safety Regulations;;;;;;;x
trinket_safety_desc;Factories are required to provide proper ventilation and a regularly cleaned workspace. Workers can sue their employers in case of an accident but they rarely win any compensation. When they do the amount is usually negligible. Safety regulations only applies to factories.;;;;;;;x
low_safety;Limited Safety Regulations;;;;;;;x
low_safety_desc;Safety regulations extend to the agricultural, civil construction and mining sectors. In mines, the use of safety lamps is mandatory. Employees suing their employers still have a hard time winning any significant compensation, but the government offers help to the affected families, albeit the amount given is barely enough to scrap an existence.;;;;;;;x
acceptable_safety;Regular Safety Regulations;;;;;;;x
acceptable_safety_desc;Safety regulations extend to all workplaces in our country. Government agencies label agricultural chemicals for toxicity and potential health impacts, mining and construction workers are required to use protection gear and hand brakes operated by workers riding on top of train cars were abolished. Employees have their rights guaranteed and getting compensation for accidents that happen due to employer negligence is a common occurrence. Government help to the victims is reasonable.;;;;;;;x
good_safety;Good Safety Regulations;;;;;;;x
good_safety_desc;Safety regulations extend to all workplaces in our country and cover potential psychological problems due to extended isolation and even minor injuries. Employers are obliged to supply workers with protection equipment and safety training. Warnings and reminders are spread through the workplace to guarantee workers remember their safety instructions. Getting compensation for employer negligence in the workplace is easy and the government supports victims with a good amount of money.;;;;;;;x
no_work_hour_limit_desc;No limit on working hours per day. Workers have virtually no rights and employers do as they please with their workers. Conditions in some workplaces are analogue to slavery.;;;;;;;x
fourteen_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At fourteen hours per day, most workers have barely any time for their families.;;;;;;;x
twelve_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. At twelve hours per day, workers are starting to have time to spend with their families and are quickly becoming common visitors of taverns and cabarets after work.;;;;;;;x
ten_hours_desc;Working hours legislation aims to not only reduce the workload, but it also gives the right to a minimum number of holidays each year, restricts excessive night work and establishes the right to vacations, all this without a reduction of the workers' salaries. While wages grow and working hours decline, the people have more time for leisure and for consuming, driving demand up. Weekends without work are a common occurrence and white-collar workers have a system of annual vacations.;;;;;;;x
