Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PRO_REACTIONARY;PRO-REACTIONARY ;;;;;;;x
PRO_SOCIALIST;PRO-SOCIALIST ;;;;;;;x
PRO_FASCIST;PRO-FASCIST ;;;;;;;x
PRO_LIBERAL;LIBERAL ;;;;;;;x
PRO_COMMIES;PRO-COMMUNIST ;;;;;;;x
EVTDESC31100_NEWS_LONG;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion of talent in archeology and captured the imagination of millions. When he excavated the hills in Hisarlik, he uncovered a number of ancient cities, dating back from the Bronze Age to the Roman times. His finds at the site were named Priam's Treasure and acquired by $CAPITAL$ museums. His archaeological effort was inspired by a British diplomat, Frank Calvert, who spent over six decades conducting field work in the area.;;;;;;;x
EVTDESC31100_NEWS_MEDIUM;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion of talent in archeology and captured the imagination of millions. His finds at the site were named Priam's Treasure and acquired by $CAPITAL$ museums.;;;;;;;x
EVTDESC31100_NEWS_SHORT;A $COUNTRY_ADJ$ archaeologist unearthed the remains of the lost city of Troy in Anatolia. This discovery led to an explosion in archeology and captured the imagination of millions.;;;;;;;x
EVTNAME13201_NEWS_TITLE;$COUNTRY_ADJ$ Mission Under Siege!;;;;;;;x
EVTDESC13201_NEWS_LONG;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown the $COUNTRY_ADJ$ ambassador out of $FROMCOUNTRY$, claiming that the $COUNTRY_ADJ$ barbarians behave unacceptably and in contrary to $FROMCOUNTRY_ADJ$ traditions. This affair is developing into an enormous loss of international face, one which many in the $COUNTRY_ADJ$ government believe can only be avoided through a formal declaration of war against $FROMCOUNTRY$.;;;;;;;x
EVTDESC13201_NEWS_MEDIUM;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador, claiming that the foreign barbarians behave unacceptably and in contrary to their traditions.;;;;;;;x
EVTDESC13201_NEWS_SHORT;After years of resistance against $COUNTRY_ADJ$ influence in their country, the $FROMCOUNTRY_ADJ$ ruling elites have thrown out the $COUNTRY_ADJ$ ambassador.;;;;;;;x
kiel_canal_NEWS_LONG;A combination of commercial and naval interests have led $TAG0_0$ to the idea of constructing an artificial waterway that'd allow vessels to travel between the Baltic and North Seas without having to circumnavigate the stormy seas around Jutland. The 61 miles long canal is being built and is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;;;;;;x
kiel_canal_NEWS_MEDIUM;The 61 miles long canal is being built and is expected to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries, and proves that nation's greatness can be achieved through manufacture, trade and engineering rather than through war and conquest.;;;;;;;x
kiel_canal_NEWS_SHORT;The 61 miles long Kiel Canal is being built and it is expect to quickly become one of the busiest artificial waterways of the world. The project offers new impetus to commerce for all maritime countries.;;;;;;;x
suez_canal_NEWS_LONG;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep planned Suez Canal is expected to become one of the world's most active shipping lanes, driving down freight costs and bolstering commerce world-wide. 'Shipping fees will never return the costs of maintenance, the route around Africa will remain dominant', sceptics claim in an attempt to diminish the importance of this development.;;;;;;;x
suez_canal_NEWS_MEDIUM;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig the Isthmus of Suez. A true marvel of modern engineering, the 102 miles long and 26 feet deep planned Suez Canal is expected to become one of the world's most active shipping lanes.;;;;;;;x
suez_canal_NEWS_SHORT;A triumphant day for $TAG0_0$ as the Suez Canal Company starts to dig for the planned 102 miles long and 26 feet deep canal across the Isthmus of Suez.;;;;;;;x
panama_canal_NEWS_LONG;The beginning of the construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends. It will be built in one of the most unhealthy areas of the entire world, so it's as much a monument to modern engineering as to modern medicine. The canal is expected to quickly become an important conduit to international maritime commerce, experts also claim it to offer great strategic advantage to its controller in times of war.;;;;;;;x
panama_canal_NEWS_MEDIUM;The beginning of the construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level. To be built in one of most unhealthy places it's a monument to modern engineering as well as medicine.;;;;;;;x
panama_canal_NEWS_SHORT;The construction of a canal through the Isthmus of Panama offers a proud day for $TAG0_0$. The canal will be 48 miles long, and is in fact a locked waterway 85 feet above sea level with some of the most intricate locks on both ends.;;;;;;;x
EVTNAME16001_NEWS_TITLE;The American Slavery Debate;;;;;;;x
EVTDESC16001_NEWS_LONG;The one issue that the Founding Fathers of $COUNTRY$ were never able to answer conclusively was the question concerning the status of slavery within the union. This inflamed debate has only gained traction in the years since the revolution, and it is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel that there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated into emancipation by the central power in Washington.;;;;;;;x
EVTDESC16001_NEWS_MEDIUM;This debate on slavery is presently the singular most important issue on $COUNTRY$'s political agenda. Some radical southerners feel there is no possible compromise to be found on the issue, and that secession is the only alternative to being dominated by the central government.;;;;;;;x
EVTDESC16001_NEWS_SHORT;This debate on slavery is the singular most important $COUNTRY_ADJ$ political issue, with some radical southerners feeling the only alternative to being dominated by the government is secession.;;;;;;;x
EVTDESC16010_NEWS_LONG;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. Supposedly, Brown had planned to use the arsenal's weapons to arm slaves and incite an open slave rebellion across the entire south. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue, and in some slave-states there is now even talk of secession from the Union.;;;;;;;x
EVTDESC16010_NEWS_MEDIUM;$COUNTRY$: The famed hero of the abolitionist movement, the late John Brown, was hanged in Charles Town, Virginia, today after a failed raid on a military armory. The raid, and John Brown's death, have furthered escalated southern tension over the slavery issue.;;;;;;;x
EVTDESC16010_NEWS_SHORT;$COUNTRY$: John Brown was hanged in Charles Town, Virginia, today after a failed raid on a military armory, further escalating southern tension over the slavery issue.;;;;;;;x
EVTDESC16020_NEWS_LONG;$COUNTRY$: Dred Scott, born a slave in Virginia, has, with the help of abolitionist legal advisers, sued his 'owner', claiming that his present residency in a free state requires his emancipation. The United States Supreme Court has not yet ruled on the case, but seems inclined to rule that the property of slave-owners are protected regardless of where in the Union the slave resides. The case has caused enormous alarm among northern abolitionists, who see it as the first step to a full extension of the institution of slavery to the whole Union.;;;;;;;x
EVTDESC16020_NEWS_MEDIUM;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused  alarm among northern abolitionists, who see its ruling as the first step to a full extension of slavery to the whole Union.;;;;;;;x
EVTDESC16020_NEWS_SHORT;$COUNTRY$: A slave has sued his 'owner', claiming that his residency in a free state requires his emancipation. The case has caused enormous alarm among northern abolitionists.;;;;;;;x
EVTNAME32511_NEWS_TITLE;The Alaskan Purchase;;;;;;;x
EVTDESC32511_NEWS_LONG;Distant Alaska has become a burden to the Russian government, and so recently they began quietly approaching powers around the Pacific Rim in the interest of selling it. They found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control for an undisclosed sum. Already the $COUNTRY_ADJ$ governor has arrived in Sitka to begin the new administration.;;;;;;;x
EVTDESC32511_NEWS_MEDIUM;Distant Alaska has become a burden to the Russian government, and so now they have found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;;;;x
EVTDESC32511_NEWS_SHORT;A deal has been concluded between Russia and $COUNTRY$ where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;;;;x
EVTDESC19300_NEWS_LONG;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue, 151 ft. tall, depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The design has been carried out by one Frederic Auguste Bartholdi, and a place has been set aside for the statue on an island in a great harbour. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;;;;x
EVTDESC19300_NEWS_MEDIUM;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue depicting a woman carrying a torch, representing and named 'Liberty Enlightening The World'. The statue will henceforth be known, simply, as 'The Statue of Liberty'.;;;;;;;x
EVTDESC19300_NEWS_SHORT;The people of France have presented to the people of our country a spectacular gift. An enormous copper statue depicting a woman carrying a torch, known as 'the Statue of Liberty'.;;;;;;;x
EVTNAME60000_NEWS_TITLE;Communists Seize Power in $COUNTRY$!;;;;;;;x
EVTDESC60000_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced today that the communist party would be suspending voting rights and restricting reforms 'to combat the current crisis'. While government ministers reassured many that the measures would be temporary, it appears obvious to outsiders that this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat. Many see this as having always been the goal of the ruling $COUNTRY_ADJ$ communist party: a peaceful overthrow of the current system and the installation of true communist principles.;;;;;;;x
EVTDESC60000_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights 'to combat the current crisis'. While giving reassurances that the measures are temporary, this is but the first step in the transformation of $COUNTRY$ into a dictatorship of the proletariat.;;;;;;;x
EVTDESC60000_NEWS_SHORT;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of voting rights 'to combat the current crisis', transforming $COUNTRY$ into a communist dictatorship.;;;;;;;x
EVTNAME60010_NEWS_TITLE;Military Coup in $COUNTRY$!;;;;;;;x
EVTDESC60010_NEWS_LONG;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights 'to combat the current crisis'. Many see this as a coup d'etat, an overthrow of the democratic government and installation of $COUNTRY$'s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military, and they would be correct. For all intents and purposes, $COUNTRY_ADJ$ democracy is now a thing of the past.;;;;;;;x
EVTDESC60010_NEWS_MEDIUM;Speaking from government offices in $CAPITAL$, the $COUNTRY_ADJ$ leadership announced the suspension of many freedoms and voting rights 'to combat the current crisis'. Many see this as an installation of $COUNTRY$'s reactionary president as dictator with the support of the $COUNTRY_ADJ$ military, and they would be correct.;;;;;;;x
EVTDESC60010_NEWS_SHORT;The $COUNTRY_ADJ$ leadership announced the suspension of freedoms 'to combat the current crisis'. Many see this as an installation of $COUNTRY$'s reactionary president as sole ruler and dictator, and they would be correct.;;;;;;;x
EVTNAME60030_NEWS_TITLE;Fascists Seize Power in $COUNTRY$!;;;;;;;x
EVTDESC60030_NEWS_LONG;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the fascist ruling party has transformed $COUNTRY$ from a democracy into a fascist dictatorship. Already the $COUNTRY_ADJ$ government has been reported clamping down on protests, black-shirted enforcers visible on every block in every major city. All this, according to the ruling party, will see $COUNTRY$ achieve the destiny it so richly deserves.;;;;;;;x
EVTDESC60030_NEWS_MEDIUM;Voting rights have been curtailed, the party system has gradually slipped under state control, and a bill on the expansion of the extraordinary powers of the state has successfully passed the house in $CAPITAL$. The signs are clear and plain: the ruling party has transformed $COUNTRY$ into a fascist dictatorship.;;;;;;;x
EVTDESC60030_NEWS_SHORT;The signs are clear: with the recent expansion of the fascist party's executive powers, $COUNTRY$ has been transformed from a democracy into a fascist dictatorship.;;;;;;;x
EVTDESC60050_NEWS_LONG;The $COUNTRY_ADJ$ dictatorship is not what it used to be. Increased pluralism, combined with extended political reforms, has led to the dictatorship more and more taking on the trappings of a democracy. While this doesn't necessarily mean that the ruling party has given up its reign on power, with the recent calling of elections this does mean that the opposition now has some chance of making its voice heard. $COUNTRY$ has become a democracy, and crowds have gathered in $CAPITAL$ to celebrate the idea that their rulers might soon be peacefully removed from power.;;;;;;;x
EVTDESC60050_NEWS_MEDIUM;The $COUNTRY_ADJ$ dictatorship is not what it used to be. While the ruling party has not yet given up power, increased pluralism, combined with extended political reforms and the recent call for new elections, has led to the dictatorship more and more taking on the trappings of a democracy.;;;;;;;x
EVTDESC60050_NEWS_SHORT;While the $COUNTRY_ADJ$ ruling party has not yet given up power, the recent reforms and call for new elections  has led to the dictatorship more and more taking on the trappings of a democracy.;;;;;;;x
EVTNAME60060_NEWS_TITLE;The $COUNTRY_ADJ$ Constitution;;;;;;;x
EVTDESC60060_NEWS_LONG;The political reforms enacted in the past few years have led to a situation where the absolutism of the $COUNTRY_ADJ$ monarchy can now legitimately be called into question. No longer is the $COUNTRY_ADJ$ king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power. Some question the right of the monarch to override decisions by the newly-elected government, or even refuse to accept the results of an election entirely, but the fact that elections are being permitted at all is considered a sure sign of $COUNTRY$'s democratization.;;;;;;;x
EVTDESC60060_NEWS_MEDIUM;The reforms enacted in the past few years have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. No longer is the king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power.;;;;;;;x
EVTDESC60060_NEWS_SHORT;Political reforms have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. The king has accepted several constitutional restrictions on his exercise of power.;;;;;;;x
EVTNAME60070_NEWS_TITLE;Democracy in $COUNTRY$;;;;;;;x
EVTDESC60070_NEWS_LONG;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people. The $COUNTRY_ADJ$ monarch, now serving as a symbolic head-of-state, no longer has the power to personally control and determine the fate of the nation, but is instead forced to accept the mitigating influences of pluralism and limited democracy.;;;;;;;x
EVTDESC60070_NEWS_MEDIUM;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people.;;;;;;;x
EVTDESC60070_NEWS_SHORT;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a fully-democratic government responsible to the people.;;;;;;;x
EVTNAME60080_NEWS_TITLE;$COUNTRY_ADJ$ Voting Rights Rescinded;;;;;;;x
EVTDESC60080_NEWS_LONG;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. Where before the free exchange of opinion and ideas could be heard, from street corners and bus stops to bars and universities, now only the sounds of silence gives echo. The conclusion that is becoming ever more evident, is that the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;x
EVTDESC60080_NEWS_MEDIUM;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. The tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;x
EVTDESC60080_NEWS_SHORT;According to recent reports, the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;;;;x
EVTNAME11100_NEW;The Unification of $CULTURE_GROUP_UNION$;;;;;;;x
